ticker,total_mentions,total_upvotes,post_mentions,comment_mentions,avg_score
T,275,6526,13,262,23.73090909090909
SO,139,11242,12,127,80.87769784172662
UPS,2,361,1,1,180.5
GOOGL,16,236,3,13,14.75
AMZN,8,229,2,6,28.625
INTC,10,2566,2,8,256.6
V,4,614,2,2,153.5
NESN.SW,1,5,0,1,5.0
BABA,14,224,3,11,16.0
AAPL,5,4,0,5,0.8
TSLA,59,3143,6,53,53.271186440677965
MSFT,7,517,2,5,73.85714285714286
NVDA,37,858,4,33,23.18918918918919
WMT,4,21,0,4,5.25
LOW,22,771,5,17,35.04545454545455
CEO,22,2084,5,17,94.72727272727273
E,4,19,2,2,4.75
META,4,14,0,4,3.5
COST,11,583,2,9,53.0
BUD,3,5,0,3,1.6666666666666667
CAT,12,563,1,11,46.916666666666664
C,1,490,1,0,490.0
RIO,1,490,1,0,490.0
GM,4,491,1,3,122.75
HCA,1,14,1,0,14.0
UNH,7,1603,2,5,229.0
TSM,5,122,2,3,24.4
VOW.DE,5,41,1,4,8.2
KO,1,66,1,0,66.0
TM,3,2,0,3,0.6666666666666666
HMC,13,170,0,13,13.076923076923077
MET,1,15,1,0,15.0
ING,1,2,0,1,2.0
F,3,37,0,3,12.333333333333334
ABBV,1,1,0,1,1.0
8058.T,1,1,0,1,1.0
BMW.DE,1,1,0,1,1.0
RELIANCE.NS,1,1,0,1,1.0
CM,1,151,1,0,151.0
PM,1,2,0,1,2.0
AVGO,1,4,0,1,4.0
MRK,1,1,0,1,1.0
GE,1,7,0,1,7.0
